ticker,fsym_id,month,fiscal_date,ff_pe_dil,ff_pbk_tang,ff_psales_dil,ff_pfcf,ff_div_yld,ff_earn_yld,ff_fcf_yld,ff_entrpr_val_ebitda_oper,ff_entrpr_val_sales,ff_roce,ff_roic,ff_roa_ptx,ff_ebit_oper_mgn,ff_ebitda_oper_mgn,ff_debt_eq,ff_tcap_assets,ff_ebit_oper_int_covg,ff_zscore,ff_fscore,ff_sales_gr,ff_eps_dil_gr,ff_eps_basic_gr,ff_bps_gr,ff_com_eq_gr,ff_assets_gr,ret,next_ret,Mkt_RF,SMB,HML,RMW,CMA,RF,Mom,vix,vix_chg,cpi_yoy,core_cpi_yoy,pce_yoy,core_pce_yoy,m2_yoy,y10,y2,y3m,slope_10y_2y,slope_10y_3m,baa_spread,baa_aaa_spread,sp500,sp500_ret,sp500_mom_12m,country,sector,ctry_AR,ctry_AT,ctry_AU,ctry_BE,ctry_CA,ctry_CH,ctry_CN,ctry_DE,ctry_DK,ctry_ES,ctry_FI,ctry_FR,ctry_GB,ctry_IE,ctry_IL,ctry_IT,ctry_JP,ctry_MX,ctry_NL,ctry_NO,ctry_SE,ctry_TW,ctry_US,ctry_UY,sect_business_services,sect_consumer_cyclicals,sect_consumer_non_cyclicals,sect_consumer_services,sect_energy,sect_finance,sect_healthcare,sect_industrials,sect_non_energy_materials,sect_technology
2146.T,SXD4G8-R,2018-01,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,,0.0584141395597241,0.0472,0.0026,0.0018,-0.0091,0.0064,0.0011,0.0232,13.54,2.5,2.129930719552253,1.770166453265043,1.7664099484208329,1.5768765133171936,4.887078859681604,2.72,2.14,1.46,0.5800000000000001,1.2600000000000002,1.56,0.71,2823.81005859375,5.617870412552817,23.91272487608005,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-02,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,0.0584141395597241,-0.0801559518741031,-0.043,0.0138,-0.0036,0.0096,-0.0048,0.0011,0.0113,19.85,6.310000000000002,2.151318868063945,1.8912671130328464,1.7576494957315614,1.6320370277204788,4.390306179922932,2.87,2.25,1.65,0.6200000000000001,1.2200000000000002,1.68,0.69,2713.830078125,-3.89473718793677,14.815716499221354,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-03,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,-0.0801559518741031,-0.1357147448946792,-0.0124,-0.0049,-0.0159,0.0156,-0.0192999999999999,0.0012,-0.0052,19.97,0.1199999999999974,2.263468931091861,1.87770420481439,1.8376076958608545,1.6442181175359671,4.139666139098752,2.74,2.27,1.73,0.4700000000000002,1.0100000000000002,1.85,0.7699999999999996,2640.8701171875,-2.688449860055664,11.772455048983232,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-04,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,-0.1357147448946792,0.295867465339072,0.0171,-0.0202,0.0214,-0.009,0.0087,0.0014,-0.0068,15.93,-4.039999999999999,2.3309497646499366,2.1227843662331214,1.998292058070028,1.909183171052753,4.078403992988511,2.95,2.49,1.87,0.4599999999999999,1.08,1.79,0.8199999999999998,2648.050048828125,0.2718774995368322,11.066609473193022,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-05,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,0.295867465339072,0.0586718196950275,-0.0173,0.0167,-0.0453,0.0283,-0.0219,0.0014,0.0243,15.43,-0.5,2.4709963021052994,2.150644636125887,2.0466282276259795,1.8842192874261696,3.802776278130704,2.83,2.4,1.93,0.4300000000000001,0.9000000000000001,1.89,0.8300000000000001,2705.27001953125,2.16083418545836,12.168088761990026,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-06,2017-03-31,27.8428576795716,14.9922651115284,0.982917161077162,18.6480096869115,0.0,3.9523299272633,5.36250257689361,15.5563419228839,0.971665319415467,41.3547238527019,20.1466453423688,15.6595911578895,5.83164551425154,6.2461041563127,136.376851972281,58.5775246290387,60.4239654551997,5.36538821486217,7.0,30.7339401222813,28.6366674092225,41.5571396747605,46.0788004647228,40.0131624493287,35.038053766242,0.0586718196950275,-0.0626490956670089,-0.0151,-0.0128,-0.0103,0.0048,-0.0065,0.0014,-0.0107,16.09,0.6600000000000001,2.781921607842497,2.272998448872432,2.2662065367869744,1.9809023776840464,3.858087243623287,2.85,2.52,1.93,0.33,0.9200000000000002,1.99,0.8700000000000001,2718.3701171875,0.484243626760783,12.171288216832732,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-07,2018-03-31,40.1746728660181,22.5083239444633,1.73688508853751,29.5704656391879,0.0,2.60544411557143,3.38175263183804,24.1045006517572,1.68448791248553,48.1440296214289,27.8938479498677,20.380062577713,6.35724198594264,6.98827134742045,86.0134835649774,56.0206376008797,107.610174755673,8.1923104073274,7.0,41.9577500880079,67.6335613473028,59.4513074723949,35.7558996130508,56.0031466399053,28.3677141456651,-0.0626490956670089,-0.038560163495093,0.0176,-0.0237,0.0112,-0.0046999999999999,0.005,0.0016,-0.0167,12.83,-3.26,2.8075506935940187,2.245517307127032,2.268307840346395,1.9362198184856405,4.099259968336955,2.96,2.67,2.03,0.29,0.9300000000000002,1.83,0.92,2816.2900390625,3.602155617289915,14.005990502996092,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-08,2018-03-31,40.1746728660181,22.5083239444633,1.73688508853751,29.5704656391879,0.0,2.60544411557143,3.38175263183804,24.1045006517572,1.68448791248553,48.1440296214289,27.8938479498677,20.380062577713,6.35724198594264,6.98827134742045,86.0134835649774,56.0206376008797,107.610174755673,8.1923104073274,7.0,41.9577500880079,67.6335613473028,59.4513074723949,35.7558996130508,56.0031466399053,28.3677141456651,-0.038560163495093,0.0842240359355885,-0.02,0.0063,-0.0337,0.0155,-0.0171,0.0016,0.0191,12.86,0.0299999999999993,2.854124785561929,2.267595293370639,2.338607055900121,1.9958004199579935,3.895742170034677,2.86,2.62,2.11,0.2399999999999997,0.75,1.92,0.8899999999999997,2901.52001953125,3.0263211276748248,17.392030998398035,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-09,2018-03-31,40.1746728660181,22.5083239444633,1.73688508853751,29.5704656391879,0.0,2.60544411557143,3.38175263183804,24.1045006517572,1.68448791248553,48.1440296214289,27.8938479498677,20.380062577713,6.35724198594264,6.98827134742045,86.0134835649774,56.0206376008797,107.610174755673,8.1923104073274,7.0,41.9577500880079,67.6335613473028,59.4513074723949,35.7558996130508,56.0031466399053,28.3677141456651,0.0842240359355885,-0.1627647178500748,0.0068,-0.0081,0.016,-0.0045,0.0078,0.0015,0.0121999999999999,12.12,-0.7400000000000002,2.642923856874257,2.1208941334864617,2.180411288951989,1.8957629996604108,3.836410492272435,3.05,2.81,2.19,0.2399999999999997,0.8599999999999999,1.84,0.8999999999999999,2913.97998046875,0.4294287426461762,15.663496134766518,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2146.T,SXD4G8-R,2018-10,2018-03-31,40.1746728660181,22.5083239444633,1.73688508853751,29.5704656391879,0.0,2.60544411557143,3.38175263183804,24.1045006517572,1.68448791248553,48.1440296214289,27.8938479498677,20.380062577713,6.35724198594264,6.98827134742045,86.0134835649774,56.0206376008797,107.610174755673,8.1923104073274,7.0,41.9577500880079,67.6335613473028,59.4513074723949,35.7558996130508,56.0031466399053,28.3677141456651,-0.1627647178500748,-0.223563406293354,-0.0872,-0.0098999999999999,0.019,-0.0034999999999999,0.0232,0.0019,-0.0226,21.23,9.11,2.332055105808828,2.1976804898501623,2.009960159362545,1.960295291300884,3.640570094069884,3.15,2.87,2.34,0.2799999999999998,0.81,2.03,0.9300000000000006,2711.739990234375,-6.94033560936963,5.299658285035491,JP,Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
