Month,Ticker,Shares
2018-04,BB,700.0
2018-04,NOK,800.0
2018-04,SHOP,60.0
2018-04,FANUY,100.0
2018-04,RACE,20.0
2018-04,AMS.SW,40.0
2018-04,BCART.BR,300.0
2018-04,UCB.BR,40.0
2018-04,ASML,70.0
2018-04,NTDOY,60.0
2018-04,RAY.ST,200.0
2018-04,SCHA.OL,100.0
2018-04,UMI.BR,60.0
2018-04,PNDORA.CO,100.0
2018-04,BOOZT.ST,600.0
2018-04,GWPH,20.0
2018-04,MTLS,250.0
2018-04,G5EN.ST,50.0
2018-04,INTRUM.ST,100.0
2018-04,FAG.ST,200.0
2018-04,NOD.OL,700.0
2018-04,OVS.MI,600.0
2018-04,AM3D.DE,100.0
2018-04,NAS.OL,100.0
2018-04,BAS1V.HE,300.0
2018-04,6861.T,5.0
2018-04,BC.MI,100.0
2018-04,ASC.L,40.0
2018-04,DUST.ST,300.0
2018-04,ZAL.DE,80.0
2018-04,FNAC.PA,30.0
2018-04,SODA,30.0
2018-04,BHP,80.0
2018-04,6146.T,20.0
2018-04,ACSO.L,100.0
2018-04,SAX.DE,40.0
2018-04,OCDO.L,600.0
2018-04,4751.T,90.0
2018-04,ESLT,20.0
2018-04,2678.T,100.0
2018-04,AF.PA,300.0
2018-05,BB,2400.0
2018-05,NOK,2600.0
2018-05,SHOP,210.0
2018-05,FANUY,600.0
2018-05,RACE,80.0
2018-05,AMS.SW,150.0
2018-05,BCART.BR,1000.0
2018-05,UCB.BR,250.0
2018-05,ASML,100.0
2018-05,NTDOY,220.0
2018-05,RAY.ST,800.0
2018-05,SCHA.OL,700.0
2018-05,UMI.BR,340.0
2018-05,PNDORA.CO,400.0
2018-05,BOOZT.ST,2000.0
2018-05,GWPH,80.0
2018-05,MTLS,1000.0
2018-05,G5EN.ST,200.0
2018-05,INTRUM.ST,400.0
2018-05,FAG.ST,1500.0
2018-05,NOD.OL,2500.0
2018-05,OVS.MI,2200.0
2018-05,AM3D.DE,400.0
2018-05,NAS.OL,300.0
2018-05,BAS1V.HE,300.0
2018-05,6861.T,20.0
2018-05,BC.MI,400.0
2018-05,ASC.L,250.0
2018-05,SEDG,150.0
2018-05,DUST.ST,2000.0
2018-05,ZAL.DE,310.0
2018-05,FNAC.PA,110.0
2018-05,SODA,220.0
2018-05,BHP,330.0
2018-05,6146.T,110.0
2018-05,ACSO.L,400.0
2018-05,SAX.DE,230.0
2018-05,OCDO.L,1200.0
2018-05,4751.T,400.0
2018-05,2678.T,600.0
2018-05,AF.PA,2000.0
2018-05,ETO.L,4000.0
2018-05,ALK-B.CO,110.0
2018-05,HSBC,400.0
2018-05,STM,700.0
2018-05,BZUN,300.0
2018-05,6951.T,2000.0
2018-05,AMP.MI,1000.0
2018-05,6857.T,800.0
2018-05,AIXA.DE,700.0
2018-06,BB,3000.0
2018-06,NOK,2600.0
2018-06,SHOP,210.0
2018-06,FANUY,1000.0
2018-06,RACE,120.0
2018-06,AMS.SW,400.0
2018-06,BCART.BR,1000.0
2018-06,UCB.BR,250.0
2018-06,ASML,150.0
2018-06,NTDOY,500.0
2018-06,RAY.ST,1600.0
2018-06,SCHA.OL,700.0
2018-06,UMI.BR,340.0
2018-06,PNDORA.CO,650.0
2018-06,BOOZT.ST,2000.0
2018-06,GWPH,200.0
2018-06,MTLS,1000.0
2018-06,G5EN.ST,400.0
2018-06,INTRUM.ST,800.0
2018-06,FAG.ST,2500.0
2018-06,NOD.OL,2500.0
2018-06,OVS.MI,3700.0
2018-06,AM3D.DE,400.0
2018-06,NAS.OL,460.0
2018-06,BAS1V.HE,400.0
2018-06,6861.T,30.0
2018-06,BC.MI,400.0
2018-06,ASC.L,250.0
2018-06,SEDG,450.0
2018-06,DUST.ST,2000.0
2018-06,ZAL.DE,310.0
2018-06,FNAC.PA,160.0
2018-06,SODA,220.0
2018-06,BHP,330.0
2018-06,6146.T,110.0
2018-06,ACSO.L,400.0
2018-06,SAX.DE,390.0
2018-06,OCDO.L,1200.0
2018-06,4751.T,400.0
2018-06,2678.T,600.0
2018-06,AF.PA,2000.0
2018-06,ETO.L,4000.0
2018-06,ALK-B.CO,110.0
2018-06,HSBC,600.0
2018-06,STM,700.0
2018-06,BZUN,450.0
2018-06,6951.T,2000.0
2018-06,AMP.MI,1000.0
2018-06,6857.T,800.0
2018-06,AIXA.DE,1350.0
2018-06,6481.T,300.0
2018-06,AF-B.ST,660.0
2018-06,MONC.MI,250.0
2018-07,BB,20000.0
2018-07,NOK,13000.0
2018-07,SHOP,1050.0
2018-07,FANUY,5000.0
2018-07,RACE,600.0
2018-07,AMS.SW,2000.0
2018-07,BCART.BR,5000.0
2018-07,UCB.BR,1250.0
2018-07,ASML,590.0
2018-07,NTDOY,2500.0
2018-07,RAY.ST,8000.0
2018-07,SCHA.OL,3500.0
2018-07,UMI.BR,1700.0
2018-07,PNDORA.CO,3250.0
2018-07,BOOZT.ST,10000.0
2018-07,GWPH,1000.0
2018-07,MTLS,5000.0
2018-07,G5EN.ST,2000.0
2018-07,INTRUM.ST,4000.0
2018-07,FAG.ST,12500.0
2018-07,NOD.OL,12500.0
2018-07,OVS.MI,18500.0
2018-07,AM3D.DE,2000.0
2018-07,NAS.OL,2300.0
2018-07,BAS1V.HE,2000.0
2018-07,6861.T,150.0
2018-07,BC.MI,2000.0
2018-07,ASC.L,1250.0
2018-07,SEDG,2250.0
2018-07,DUST.ST,10000.0
2018-07,ZAL.DE,1550.0
2018-07,FNAC.PA,800.0
2018-07,SODA,1100.0
2018-07,BHP,1650.0
2018-07,6146.T,550.0
2018-07,ACSO.L,2000.0
2018-07,SAX.DE,1950.0
2018-07,OCDO.L,6000.0
